Serie,Date,Day,Month,Year,Site,Management,Transect,Quadrats,Place_in_transect ,Depth,Group,Species,Presence,Abundance,Holdfast,Stipes,TL,Frondosity,Obs,Sampler,Anotate,Entered by
3763,24-04-21,24,4,2021,Punta El Yeso,TURF,6,5,80,7.1,Macroalga ,Lessonia trabeculata,1,1,25,10,130,3,ALGA MEDIDA FUERA DEL CUADRANTE,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
3764,24-04-21,24,4,2021,Punta El Yeso,TURF,6,5,80,7.1,Macroalga ,Lessonia trabeculata,1,1,22,4,114,3,ALGA MEDIDA FUERA DEL CUADRANTE,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
3765,24-04-21,24,4,2021,Punta El Yeso,TURF,6,5,80,7.1,Animal,Tegula tridentata,NaN,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
3766,24-04-21,24,4,2021,Punta El Yeso,TURF,6,6,90,7.2,Macroalga ,Lessonia trabeculata,1,1,3,5,26,3,ALGA MEDIDA FUERA DEL CUADRANTE,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
3767,24-04-21,24,4,2021,Punta El Yeso,TURF,6,6,90,7.2,Macroalga ,Lessonia trabeculata,1,1,0.2,1,1,3,,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
3768,24-04-21,24,4,2021,Punta El Yeso,TURF,6,6,90,7.2,Animal,Tegula tridentata,NaN,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
3769,24-04-21,24,4,2021,Punta El Yeso,TURF,6,7,100,7.1,Macroalga ,Lessonia trabeculata,1,1,20,4,119,3,ALGA MEDIDA FUERA DEL CUADRANTE,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
3770,24-04-21,24,4,2021,Punta El Yeso,TURF,6,7,100,7.1,Animal,Tegula tridentata,NaN,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
3771,24-04-21,24,4,2021,Punta El Yeso,TURF,2,1,0,11.4,Macroalga ,Lessonia trabeculata,1,1,14,2,82,1,DC (Disco Comido- con evidencias de mordidas >50% de la supericie),Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
3772,24-04-21,24,4,2021,Punta El Yeso,TURF,2,1,0,11.4,Macroalga ,Lessonia trabeculata,1,1,38,6,248,3,DC (Disco Comido- con evidencias de mordidas >50% de la supericie),Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
3773,24-04-21,24,4,2021,Punta El Yeso,TURF,2,1,0,11.4,Macroalga ,Lessonia trabeculata,1,1,5,1,16,1,DC (Disco Comido- con evidencias de mordidas >50% de la supericie),Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
3774,24-04-21,24,4,2021,Punta El Yeso,TURF,2,1,0,11.4,Macroalga ,Lessonia trabeculata,1,1,9,1,159,3,,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
3775,24-04-21,24,4,2021,Punta El Yeso,TURF,2,1,0,11.4,Macroalga ,Lessonia trabeculata,1,1,25,7,194,3,DC (Disco Comido- con evidencias de mordidas >50% de la supericie),Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
3776,24-04-21,24,4,2021,Punta El Yeso,TURF,2,1,0,11.4,Animal,Tegula tridentata,NaN,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
3777,24-04-21,24,4,2021,Punta El Yeso,TURF,2,1,0,11.4,Animal,Tetrapygus niger,NaN,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
3778,24-04-21,24,4,2021,Punta El Yeso,TURF,2,2,10,11.5,Macroalga ,Lessonia trabeculata,1,1,23,2,220,3,DC (Disco Comido- con evidencias de mordidas >50% de la supericie),Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
3779,24-04-21,24,4,2021,Punta El Yeso,TURF,2,2,10,11.5,Macroalga ,Lessonia trabeculata,1,1,33,3,197,3,DC (Disco Comido- con evidencias de mordidas >50% de la supericie),Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
3780,24-04-21,24,4,2021,Punta El Yeso,TURF,2,2,10,11.5,Macroalga ,Lessonia trabeculata,1,1,18,2,178,3,,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
3781,24-04-21,24,4,2021,Punta El Yeso,TURF,2,2,10,11.5,Macroalga ,Lessonia trabeculata,1,1,17,1,33,1,DC (Disco Comido- con evidencias de mordidas >50% de la supericie),Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
3782,24-04-21,24,4,2021,Punta El Yeso,TURF,2,2,10,11.5,Animal,Tegula tridentata,NaN,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
3783,24-04-21,24,4,2021,Punta El Yeso,TURF,2,2,10,11.5,Animal,Tetrapygus niger,NaN,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
3784,24-04-21,24,4,2021,Punta El Yeso,TURF,2,3,20,10.9,Macroalga ,Lessonia trabeculata,1,1,28,3,234,3,DC (Disco Comido- con evidencias de mordidas >50% de la supericie),Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
3785,24-04-21,24,4,2021,Punta El Yeso,TURF,2,3,20,10.9,Macroalga ,Lessonia trabeculata,1,1,17,1,245,3,DC (Disco Comido- con evidencias de mordidas >50% de la supericie),Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
3786,24-04-21,24,4,2021,Punta El Yeso,TURF,2,3,20,10.9,Animal,Tetrapygus niger,NaN,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
3787,24-04-21,24,4,2021,Punta El Yeso,TURF,2,3,20,10.9,Animal,Tegula tridentata,NaN,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
3788,24-04-21,24,4,2021,Punta El Yeso,TURF,2,4,30,10.8,Macroalga ,Lessonia trabeculata,1,1,24,3,179,3,DC (Disco Comido- con evidencias de mordidas >50% de la supericie),Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
3789,24-04-21,24,4,2021,Punta El Yeso,TURF,2,4,30,10.8,Macroalga ,Lessonia trabeculata,1,1,49,8,197,3,DC (Disco Comido- con evidencias de mordidas >50% de la supericie),Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
3790,24-04-21,24,4,2021,Punta El Yeso,TURF,2,4,30,10.8,Macroalga ,Lessonia trabeculata,1,1,37,6,202,3,DC (Disco Comido- con evidencias de mordidas >50% de la supericie),Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
3791,24-04-21,24,4,2021,Punta El Yeso,TURF,2,4,30,10.8,Animal,Tegula tridentata,NaN,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
3792,24-04-21,24,4,2021,Punta El Yeso,TURF,2,4,30,10.8,Animal,Tetrapygus niger,NaN,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
3793,24-04-21,24,4,2021,Punta El Yeso,TURF,2,4,30,10.8,Animal,Loxechinus albus,NaN,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
3794,24-04-21,24,4,2021,Punta El Yeso,TURF,2,5,40,10,Macroalga ,Lessonia trabeculata,1,1,40,4,234,3,DC (Disco Comido- con evidencias de mordidas >50% de la supericie),Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
3795,24-04-21,24,4,2021,Punta El Yeso,TURF,2,5,40,10,Macroalga ,Lessonia trabeculata,1,1,16,1,195,3,DC (Disco Comido- con evidencias de mordidas >50% de la supericie),Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
3796,24-04-21,24,4,2021,Punta El Yeso,TURF,2,5,40,10,Macroalga ,Lessonia trabeculata,1,1,20,1,214,2,DC (Disco Comido- con evidencias de mordidas >50% de la supericie),Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
3797,24-04-21,24,4,2021,Punta El Yeso,TURF,2,5,40,10,Animal,Tegula tridentata,NaN,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
3798,24-04-21,24,4,2021,Punta El Yeso,TURF,2,5,40,10,Animal,Tetrapygus niger,NaN,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
3799,24-04-21,24,4,2021,Punta El Yeso,TURF,2,6,50,10.4,Macroalga ,Lessonia trabeculata,1,1,21,4,182,3,,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
3800,24-04-21,24,4,2021,Punta El Yeso,TURF,2,6,50,10.4,Animal,Tegula tridentata,NaN,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
3801,24-04-21,24,4,2021,Punta El Yeso,TURF,2,7,60,9.7,Macroalga ,Lessonia trabeculata,1,1,25,2,183,3,,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
3802,24-04-21,24,4,2021,Punta El Yeso,TURF,2,7,60,9.7,Macroalga ,Lessonia trabeculata,1,1,28,3,206,3,,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
3803,24-04-21,24,4,2021,Punta El Yeso,TURF,2,7,60,9.7,Animal,Tegula tridentata,NaN,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
3804,24-04-21,24,4,2021,Punta El Yeso,TURF,4,1,0,8.4,Macroalga ,Lessonia trabeculata,1,1,12,2,128,3,,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
3805,24-04-21,24,4,2021,Punta El Yeso,TURF,4,1,0,8.4,Animal,Tegula tridentata,NaN,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
3806,24-04-21,24,4,2021,Punta El Yeso,TURF,4,1,0,8.4,Animal,Tetrapygus niger,NaN,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
3807,24-04-21,24,4,2021,Punta El Yeso,TURF,4,2,10,7.3,Macroalga ,Lessonia trabeculata,1,1,19,6,160,3,ALGA MEDIDA FUERA DEL CUADRANTE,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
3808,24-04-21,24,4,2021,Punta El Yeso,TURF,4,2,10,7.3,Macroalga ,Lessonia trabeculata,1,1,25,4,143,3,ALGA MEDIDA FUERA DEL CUADRANTE,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
3809,24-04-21,24,4,2021,Punta El Yeso,TURF,4,2,10,7.3,Animal,Tegula tridentata,NaN,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
3810,24-04-21,24,4,2021,Punta El Yeso,TURF,4,2,10,7.3,Animal,Tetrapygus niger,NaN,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
3811,24-04-21,24,4,2021,Punta El Yeso,TURF,4,3,20,6.8,Macroalga ,Lessonia trabeculata,1,1,13,3,113,3,ALGA MEDIDA FUERA DEL CUADRANTE,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
3812,24-04-21,24,4,2021,Punta El Yeso,TURF,4,3,20,6.8,Macroalga ,Lessonia trabeculata,1,1,26,4,127,3,ALGA MEDIDA FUERA DEL CUADRANTE,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
3813,24-04-21,24,4,2021,Punta El Yeso,TURF,4,3,20,6.8,Animal,Tegula tridentata,NaN,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
3814,24-04-21,24,4,2021,Punta El Yeso,TURF,4,3,20,6.8,Animal,Tegula atra,NaN,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
3815,24-04-21,24,4,2021,Punta El Yeso,TURF,4,4,35,5.7,Macroalga ,Lessonia trabeculata,1,1,11,1,125,3,,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
3816,24-04-21,24,4,2021,Punta El Yeso,TURF,4,4,35,5.7,Animal,Tegula tridentata,NaN,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
3817,24-04-21,24,4,2021,Punta El Yeso,TURF,4,5,50,6.3,Macroalga ,Lessonia trabeculata,1,1,28,5,113,3,ALGA MEDIDA FUERA DEL CUADRANTE,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
3818,24-04-21,24,4,2021,Punta El Yeso,TURF,4,5,50,6.3,Macroalga ,Lessonia trabeculata,1,1,13,1,140,3,ALGA MEDIDA FUERA DEL CUADRANTE + DC,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
3819,24-04-21,24,4,2021,Punta El Yeso,TURF,4,5,50,6.3,Animal,Tegula tridentata,NaN,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
3820,24-04-21,24,4,2021,Punta El Yeso,TURF,4,6,60,7.3,Macroalga ,Lessonia trabeculata,1,1,12,1,130,3,Cuadrante realizado aprox a 5 m al la Derecha de la direcci—n del transecto.,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
3821,24-04-21,24,4,2021,Punta El Yeso,TURF,4,6,60,7.3,Macroalga ,Lessonia trabeculata,1,1,15,1,128,3,Cuadrante realizado aprox a 5 m al la Derecha de la direcci—n del transecto.,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
3822,24-04-21,24,4,2021,Punta El Yeso,TURF,4,6,60,7.3,Macroalga ,Lessonia trabeculata,1,1,14,4,118,3,Cuadrante realizado aprox a 5 m al la Derecha de la direcci—n del transecto.,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
3823,24-04-21,24,4,2021,Punta El Yeso,TURF,4,6,60,7.3,Animal,Tegula tridentata,NaN,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
3824,24-04-21,24,4,2021,Punta El Yeso,TURF,4,7,20,6.4,Macroalga ,Lessonia trabeculata,1,1,22,2,134,3,Cuadrante realizado aprox a 10 m al la izquierda de la direcci—n del transecto.,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
3825,24-04-21,24,4,2021,Punta El Yeso,TURF,4,7,20,6.4,Macroalga ,Lessonia trabeculata,1,1,12,1,117,3,ALGA MEDIDA FUERA DEL CUADRANTE,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
3826,24-04-21,24,4,2021,Punta El Yeso,TURF,4,7,20,6.4,Animal,Tegula tridentata,NaN,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
3827,24-04-21,24,4,2021,Punta El Yeso,TURF,6,1,20,7.5,Macroalga ,Lessonia trabeculata,1,1,22,4,11,3,,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
3828,24-04-21,24,4,2021,Punta El Yeso,TURF,6,1,20,7.5,Animal,Tegula tridentata,NaN,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
3829,24-04-21,24,4,2021,Punta El Yeso,TURF,6,1,20,7.5,Animal,Tetrapygus niger,NaN,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
3830,24-04-21,24,4,2021,Punta El Yeso,TURF,6,2,40,7.4,Macroalga ,Lessonia trabeculata,1,1,18,4,164,2,ALGA MEDIDA FUERA DEL CUADRANTE,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
3831,24-04-21,24,4,2021,Punta El Yeso,TURF,6,2,40,7.4,Animal,Tegula tridentata,NaN,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
3832,24-04-21,24,4,2021,Punta El Yeso,TURF,6,3,50,6.9,Macroalga ,Lessonia trabeculata,1,1,12,1,13,1,,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
3833,24-04-21,24,4,2021,Punta El Yeso,TURF,6,3,50,6.9,Animal,Tegula tridentata,NaN,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
3834,24-04-21,24,4,2021,Punta El Yeso,TURF,6,4,70,7.1,Macroalga ,Lessonia trabeculata,1,1,0.2,1,2,3,,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
3835,24-04-21,24,4,2021,Punta El Yeso,TURF,6,4,70,7.1,Macroalga ,Lessonia trabeculata,1,1,0.2,1,2,2,,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
3836,24-04-21,24,4,2021,Punta El Yeso,TURF,6,4,70,7.1,Animal,Tegula tridentata,NaN,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
3837,24-04-21,24,4,2021,Punta El Yeso,TURF,6,5,80,7.1,Macroalga ,Lessonia trabeculata,1,1,25,7,125,3,ALGA MEDIDA FUERA DEL CUADRANTE + DC,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
3838,24-04-21,24,4,2021,Punta El Yeso,TURF,6,5,80,7.1,Macroalga ,Lessonia trabeculata,1,1,25,10,130,3,ALGA MEDIDA FUERA DEL CUADRANTE,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
3839,24-04-21,24,4,2021,Punta El Yeso,TURF,6,5,80,7.1,Macroalga ,Lessonia trabeculata,1,1,22,4,114,3,ALGA MEDIDA FUERA DEL CUADRANTE,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
3840,24-04-21,24,4,2021,Punta El Yeso,TURF,6,5,80,7.1,Animal,Tegula tridentata,NaN,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
3841,24-04-21,24,4,2021,Punta El Yeso,TURF,6,6,90,7.2,Macroalga ,Lessonia trabeculata,1,1,3,5,26,3,ALGA MEDIDA FUERA DEL CUADRANTE,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
3842,24-04-21,24,4,2021,Punta El Yeso,TURF,6,6,90,7.2,Macroalga ,Lessonia trabeculata,1,1,0.2,1,1,3,,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
3843,24-04-21,24,4,2021,Punta El Yeso,TURF,6,6,90,7.2,Animal,Tegula tridentata,NaN,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
3844,24-04-21,24,4,2021,Punta El Yeso,TURF,6,7,100,7.1,Macroalga ,Lessonia trabeculata,1,1,20,4,119,3,ALGA MEDIDA FUERA DEL CUADRANTE,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
3845,24-04-21,24,4,2021,Punta El Yeso,TURF,6,7,100,7.1,Animal,Tegula tridentata,NaN,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
3846,24-04-21,24,4,2021,Punta El Yeso,TURF,2,1,0,11.4,Macroalga ,Lessonia trabeculata,1,1,20,4,238,3,,Juan Pablo Si–uela,Juan Pablo Si–uela,Rodrigo Mu–oz
3847,24-04-21,24,4,2021,Punta El Yeso,TURF,2,2,10,11.5,Macroalga ,Lessonia trabeculata,1,1,15,2,260,3,,Juan Pablo Si–uela,Juan Pablo Si–uela,Rodrigo Mu–oz
3848,24-04-21,24,4,2021,Punta El Yeso,TURF,2,2,10,11.5,Macroalga ,Lessonia trabeculata,1,1,33,3,230,3,,Juan Pablo Si–uela,Juan Pablo Si–uela,Rodrigo Mu–oz
3849,24-04-21,24,4,2021,Punta El Yeso,TURF,2,2,10,11.5,Macroalga ,Lessonia trabeculata,1,1,29,5,213,2,,Juan Pablo Si–uela,Juan Pablo Si–uela,Rodrigo Mu–oz
3850,24-04-21,24,4,2021,Punta El Yeso,TURF,2,3,20,10.9,Macroalga ,Lessonia trabeculata,1,1,33,9,270,2,,Juan Pablo Si–uela,Juan Pablo Si–uela,Rodrigo Mu–oz
3851,24-04-21,24,4,2021,Punta El Yeso,TURF,2,3,20,10.9,Macroalga ,Lessonia trabeculata,1,1,30,5,240,3,,Juan Pablo Si–uela,Juan Pablo Si–uela,Rodrigo Mu–oz
3852,24-04-21,24,4,2021,Punta El Yeso,TURF,2,3,20,10.9,Macroalga ,Lessonia trabeculata,1,1,18,1,240,2,,Juan Pablo Si–uela,Juan Pablo Si–uela,Rodrigo Mu–oz
3853,24-04-21,24,4,2021,Punta El Yeso,TURF,2,4,30,10.8,Macroalga ,Lessonia trabeculata,1,1,10,1,218,2,,Juan Pablo Si–uela,Juan Pablo Si–uela,Rodrigo Mu–oz
3854,24-04-21,24,4,2021,Punta El Yeso,TURF,2,4,30,10.8,Macroalga ,Lessonia trabeculata,1,1,8,2,243,2,,Juan Pablo Si–uela,Juan Pablo Si–uela,Rodrigo Mu–oz
3855,24-04-21,24,4,2021,Punta El Yeso,TURF,2,4,30,10.8,Macroalga ,Lessonia trabeculata,1,1,16,5,220,3,,Juan Pablo Si–uela,Juan Pablo Si–uela,Rodrigo Mu–oz
3856,24-04-21,24,4,2021,Punta El Yeso,TURF,2,5,40,10,Macroalga ,Lessonia trabeculata,1,1,28,1,200,2,,Juan Pablo Si–uela,Juan Pablo Si–uela,Rodrigo Mu–oz
3857,24-04-21,24,4,2021,Punta El Yeso,TURF,2,5,40,10,Macroalga ,Lessonia trabeculata,1,1,15,2,160,3,,Juan Pablo Si–uela,Juan Pablo Si–uela,Rodrigo Mu–oz
3858,24-04-21,24,4,2021,Punta El Yeso,TURF,2,5,40,10,Macroalga ,Lessonia trabeculata,1,1,29,6,260,3,,Juan Pablo Si–uela,Juan Pablo Si–uela,Rodrigo Mu–oz
3859,24-04-21,24,4,2021,Punta El Yeso,TURF,2,6,50,10.4,Macroalga ,Lessonia trabeculata,1,1,19,3,240,2,,Juan Pablo Si–uela,Juan Pablo Si–uela,Rodrigo Mu–oz
3860,24-04-21,24,4,2021,Punta El Yeso,TURF,2,7,60,9.7,Macroalga ,Lessonia trabeculata,1,1,25,3,198,2,,Juan Pablo Si–uela,Juan Pablo Si–uela,Rodrigo Mu–oz
3861,24-04-21,24,4,2021,Punta El Yeso,TURF,2,7,60,9.7,Macroalga ,Lessonia trabeculata,1,1,20,6,250,2,,Juan Pablo Si–uela,Juan Pablo Si–uela,Rodrigo Mu–oz
3862,24-04-21,24,4,2021,Punta El Yeso,TURF,2,7,60,9.7,Macroalga ,Lessonia trabeculata,1,1,29,5,220,2,,Juan Pablo Si–uela,Juan Pablo Si–uela,Rodrigo Mu–oz
3863,24-04-21,24,4,2021,Punta El Yeso,TURF,4,1,0,8.4,Macroalga ,Lessonia trabeculata,1,1,23,6,158,3,,Juan Pablo Si–uela,Juan Pablo Si–uela,Rodrigo Mu–oz
3864,24-04-21,24,4,2021,Punta El Yeso,TURF,4,1,0,8.4,Macroalga ,Lessonia trabeculata,1,1,24,7,153,2,,Juan Pablo Si–uela,Juan Pablo Si–uela,Rodrigo Mu–oz
3865,24-04-21,24,4,2021,Punta El Yeso,TURF,4,2,10,7.3,Macroalga ,Lessonia trabeculata,1,1,23,7,140,3,ALGA MEDIDA FUERA DEL CUADRANTE,Juan Pablo Si–uela,Juan Pablo Si–uela,Rodrigo Mu–oz
3866,24-04-21,24,4,2021,Punta El Yeso,TURF,4,2,10,7.3,Macroalga ,Lessonia trabeculata,1,1,17,5,128,3,ALGA MEDIDA FUERA DEL CUADRANTE,Juan Pablo Si–uela,Juan Pablo Si–uela,Rodrigo Mu–oz
3867,24-04-21,24,4,2021,Punta El Yeso,TURF,4,3,20,6.8,Macroalga ,Lessonia trabeculata,1,1,15,4,124,3,,Juan Pablo Si–uela,Juan Pablo Si–uela,Rodrigo Mu–oz
3868,24-04-21,24,4,2021,Punta El Yeso,TURF,4,3,20,6.8,Macroalga ,Lessonia trabeculata,1,1,20,5,118,3,,Juan Pablo Si–uela,Juan Pablo Si–uela,Rodrigo Mu–oz
3869,24-04-21,24,4,2021,Punta El Yeso,TURF,4,4,35,5.7,Macroalga ,Lessonia trabeculata,1,1,12,3,110,2,,Juan Pablo Si–uela,Juan Pablo Si–uela,Rodrigo Mu–oz
3870,24-04-21,24,4,2021,Punta El Yeso,TURF,4,4,35,5.7,Macroalga ,Lessonia trabeculata,1,1,9,2,108,2,,Juan Pablo Si–uela,Juan Pablo Si–uela,Rodrigo Mu–oz
3871,24-04-21,24,4,2021,Punta El Yeso,TURF,4,5,50,6.3,Macroalga ,Lessonia trabeculata,1,1,10,9,115,2,,Juan Pablo Si–uela,Juan Pablo Si–uela,Rodrigo Mu–oz
3872,24-04-21,24,4,2021,Punta El Yeso,TURF,4,5,50,6.3,Macroalga ,Lessonia trabeculata,1,1,13,2,100,2,,Juan Pablo Si–uela,Juan Pablo Si–uela,Rodrigo Mu–oz
3873,24-04-21,24,4,2021,Punta El Yeso,TURF,4,6,60,7.3,Macroalga ,Lessonia trabeculata,1,1,24,6,196,2,,Juan Pablo Si–uela,Juan Pablo Si–uela,Rodrigo Mu–oz
3874,24-04-21,24,4,2021,Punta El Yeso,TURF,4,6,60,7.3,Macroalga ,Lessonia trabeculata,1,1,27,10,161,2,,Juan Pablo Si–uela,Juan Pablo Si–uela,Rodrigo Mu–oz
3875,24-04-21,24,4,2021,Punta El Yeso,TURF,4,7,20,6.4,Macroalga ,Lessonia trabeculata,1,1,22,7,132,2,Cuadrante realizado aprox a 10 m al la izquierda de la direcci—n del transecto.,Juan Pablo Si–uela,Juan Pablo Si–uela,Rodrigo Mu–oz
3876,24-04-21,24,4,2021,Punta El Yeso,TURF,6,2,40,7.4,Macroalga ,Lessonia trabeculata,1,1,18,8,130,2,,Juan Pablo Si–uela,Juan Pablo Si–uela,Rodrigo Mu–oz
3877,24-04-21,24,4,2021,Punta El Yeso,TURF,6,3,50,6.9,Macroalga ,Lessonia trabeculata,1,1,12,1,110,2,,Juan Pablo Si–uela,Juan Pablo Si–uela,Rodrigo Mu–oz
